Equivalent widths of CH4 and NH3 as function of airmass
along equator. Units are nm
Number of locations =          116
Airmass,   W_CH4,  W_NH3
      2.46063      2.11501     0.183623
      2.44216      2.15865     0.158655
      2.42618      2.12830     0.160131
      2.41254      2.09873     0.152043
      2.40111      2.11500     0.158498
      2.39182      2.13368     0.144550
      2.38456      2.14317     0.152201
      2.37929      2.08596     0.168877
      2.37595      2.12106     0.161579
      2.37452      2.11275     0.164544
      2.37497      2.12828     0.166963
      2.37731      2.13265     0.144620
      2.61473      2.07518     0.136878
      2.57480      2.07700     0.130378
      2.53911      2.09009     0.164963
      2.50723      2.07649     0.163561
      2.47878      2.08053     0.132256
      2.45347      2.05629     0.152579
      2.43103      2.07563     0.150629
      2.41124      2.12288     0.183692
      2.39393      2.13764     0.182005
      2.37894      2.11741     0.170729
      2.36613      2.11181     0.174264
      2.35541      2.10347     0.177129
      2.34668      2.11588     0.165525
      2.33987      2.12147     0.182526
      2.33492      2.12026     0.188669
      2.33180      2.13121     0.180050
      2.33048      2.10787     0.188227
      2.33094      2.17727     0.181287
      2.33317      2.14898     0.162779
      2.33719      2.07695     0.171412
      2.34302      2.13768     0.168402
      2.35069      2.09573     0.196040
      2.36026      2.11992     0.163047
      2.37178      2.13136     0.173851
      2.38533      2.10394     0.182568
      2.40101      2.16331     0.160623
      2.41894      2.11402     0.158292
      2.82314      2.01307     0.131849
      2.75693      1.99655     0.144453
      2.69825      1.95460     0.149344
      2.64606      1.99899     0.134765
      2.59949      2.04780     0.147570
      2.55784      2.03135     0.170858
      2.37484      2.14671     0.191646
      2.39404      2.09481     0.192491
      2.41562      2.10037     0.189089
      2.43976      2.11172     0.162273
      2.46665      2.07360     0.164115
      2.49653      2.09571     0.155084
      2.99269      1.99799     0.128237
      2.90261      1.96863     0.137396
      2.82386      1.96741     0.128210
      2.75455      1.98322     0.162059
      2.45056      2.06710     0.167619
      2.48187      2.06419     0.167390
      2.51653      2.07359     0.129146
      2.55489      2.07837     0.163038
      2.59736      2.03388     0.143999
      3.12053      1.95732     0.120125
      3.01013      1.96992    0.0956845
      2.91481      1.97930     0.129876
      2.54835      2.04199     0.135151
      2.59274      2.02884     0.140082
      2.64194      2.06031     0.150406
      2.69660      1.95199     0.130048
      3.46147      1.90474    0.0984265
      3.29438      1.88202     0.103448
      3.15498      1.92173     0.125822
      2.64480      1.96935     0.132913
      2.70212      2.03184     0.139954
      2.76606      1.98065     0.130067
      2.83768      2.00526     0.127022
      3.76416      1.82609     0.134152
      3.53644      1.82229     0.124546
      3.35279      1.85496     0.101108
      2.78084      1.99751     0.151064
      2.85651      1.98554     0.156908
      2.94192      1.99197     0.150441
      3.88997      1.86606    0.0768187
      3.63208      1.83425     0.126611
      2.88246      2.02922     0.139688
      2.97346      1.96355     0.142372
      3.07725      1.91047     0.146468
      4.45370      1.74346    0.0695743
      4.05141      1.77721    0.0927478
      3.01362      1.92485     0.123396
      3.12543      1.94072     0.122602
      3.25484      1.93670     0.109838
      4.75760      1.84808    0.0661467
      4.26087      1.72120    0.0664264
      3.18475      1.94342     0.113348
      3.32620      1.95656     0.118371
      3.49332      1.87560     0.117011
      5.18389      1.91160    0.0813267
      3.41308      1.85294     0.114679
      3.59948      1.85317     0.114907
      5.82566      1.71223     0.101028
      3.72942      1.81672     0.129363
      3.99018      1.77648     0.114763
      6.92668      1.43427    0.0825162
      3.88951      1.79613     0.102867
      4.19539      1.77750    0.0776035
      6.40174      1.51825    0.0570139
      4.08915      1.81696    0.0734067
      4.45740      1.82059    0.0825692
      8.29998      1.19741    0.0714047
      4.80137      1.80471    0.0851809
      5.27201      1.79975    0.0519091
      5.95812      1.77183    0.0551528
      5.77568      1.86656    0.0750241
      7.06970      1.88914    0.0821461
      6.81576      1.87898    0.0643675
      8.82711      1.53259     0.118209
      8.51698      2.19760     0.109749
