Equivalent widths of CH4 and NH3 as function of airmass
along equator. Units are nm
Number of locations =          551
Airmass,   W_CH4,  W_NH3
      8.65501      1.61841     0.161646
      5.73527      1.63464     0.157854
      6.16959      1.47986     0.187085
      6.71605      1.50772     0.104112
      7.43010      1.43418     0.131961
      8.41371      1.55699     0.186242
      9.88001      1.52196     0.168141
      4.57157      1.66513     0.277188
      4.78396      1.61886     0.248547
      5.02949      1.49352     0.169668
      5.31732      1.57470     0.218453
      5.66052      1.64539     0.176534
      6.07848      1.56524     0.169652
      6.60147      1.55296     0.223112
      7.27974      1.60240     0.150768
      8.20414      1.59359     0.129492
      9.55961      1.54851     0.150949
      3.91837      1.72656     0.243064
      4.04749      1.75748     0.229136
      4.19115      1.64069     0.269436
      4.35211      1.64956     0.280987
      4.53397      1.65028     0.273936
      4.74142      1.56919     0.176492
      4.98074      1.71455     0.188890
      5.26061      1.54338     0.212224
      5.59331      1.59950     0.198267
      5.99697      1.60869     0.143830
      6.49959      1.55886     0.216682
      7.14717      1.61617     0.275730
      8.02158      1.63515     0.259679
      3.49213      1.68259     0.341879
      3.58006      1.74003     0.349739
      3.67579      1.71821     0.303063
      3.78045      1.63281     0.261433
      3.89544      1.67294     0.271457
      4.02245      1.71083     0.305968
      4.16362      1.65361     0.312977
      4.32162      1.61904     0.259940
      4.49989      1.57431     0.269333
      4.70293      1.57916     0.250184
      4.93675      1.59331     0.288773
      5.20958      1.50605     0.165102
      5.53303      1.52351     0.231858
      3.18924      1.85390     0.382839
      3.25341      1.86943     0.367290
      3.32231      1.82020     0.299828
      3.39650      1.74097     0.300170
      3.47664      1.67465     0.307151
      3.56349      1.73511     0.341499
      3.65800      1.59384     0.299335
      3.76126      1.68184     0.279631
      3.87463      1.63097     0.299689
      3.99975      1.73990     0.313893
      4.13870      1.66965     0.277877
      4.29405      1.61434     0.266657
      4.46913      1.57644     0.260923
      2.91576      1.86917     0.420058
      2.96195      1.88779     0.410970
      3.01098      1.78738     0.370071
      3.06314      1.74948     0.370566
      3.11873      1.79924     0.366513
      3.17810      1.82584     0.330631
      3.24166      1.79642     0.337448
      3.30988      1.74522     0.313283
      3.38331      1.72179     0.325399
      3.46260      1.64480     0.302315
      3.54850      1.74009     0.315600
      3.64191      1.60459     0.304794
      3.74392      1.70085     0.273766
      3.85585      1.63216     0.350019
      2.74819      1.98999     0.469069
      2.78488      1.92928     0.469025
      2.82359      1.90570     0.437167
      2.86448      1.88637     0.416690
      2.90775      1.87416     0.412540
      2.95360      1.84305     0.411654
      3.00227      1.79007     0.384877
      3.05402      1.80811     0.377489
      3.10917      1.79134     0.352999
      3.16805      1.81455     0.325178
      3.23107      1.79781     0.345572
      3.29869      1.73734     0.307699
      3.37145      1.70708     0.373421
      3.44998      1.73153     0.308482
      2.58503      2.01800     0.499713
      2.61341      1.98215     0.471866
      2.64320      1.95988     0.480012
      2.67448      1.99233     0.480865
      2.70737      2.03301     0.476380
      2.74198      1.99295     0.500606
      2.77845      1.93080     0.494252
      2.81693      1.85588     0.466984
      2.85757      1.82939     0.442908
      2.90057      1.84504     0.423712
      2.94612      1.82528     0.426121
      2.99446      1.82074     0.367972
      3.04586      1.78331     0.385260
      3.10062      1.78998     0.343290
      3.15907      1.76970     0.365680
      2.47953      2.01557     0.508296
      2.50302      1.98160     0.505480
      2.52760      1.96861     0.523670
      2.55332      1.90258     0.465323
      2.58027      1.94317     0.481756
      2.60852      1.96096     0.472025
      2.63817      1.88168     0.475189
      2.66930      1.94908     0.502908
      2.70202      1.97420     0.499416
      2.73646      1.93753     0.494977
      2.77275      1.89752     0.474161
      2.81102      1.88903     0.450593
      2.85144      1.87891     0.425947
      2.89420      1.82075     0.361364
      2.37292      2.11244     0.555383
